record_ID,week,store_id,sku_id,total_price,base_price,is_featured_sku,is_display_sku,units_sold
1,17/01/11,8091,216418,99.0375,111.8625,0,0,20
2,17/01/11,8091,216419,99.0375,99.0375,0,0,28
3,17/01/11,8091,216425,133.95,133.95,0,0,19
4,17/01/11,8091,216233,133.95,133.95,0,0,44
5,17/01/11,8091,217390,141.075,141.075,0,0,52
9,17/01/11,8091,219009,227.2875,227.2875,0,0,18
10,17/01/11,8091,219029,327.0375,327.0375,0,0,47
13,17/01/11,8091,223245,210.9,210.9,0,0,50
14,17/01/11,8091,223153,190.2375,234.4125,1,1,82
17,17/01/11,8095,216418,99.0375,99.0375,0,0,99
18,17/01/11,8095,216419,97.6125,97.6125,0,0,120
19,17/01/11,8095,300021,98.325,98.325,0,0,40
22,17/01/11,8095,216425,133.2375,133.2375,0,0,68
23,17/01/11,8095,216233,133.95,133.95,0,0,87
24,17/01/11,8095,217390,139.65,139.65,0,0,186
27,17/01/11,8095,219844,236.55,280.0125,0,0,54
28,17/01/11,8095,219009,214.4625,214.4625,0,0,74
29,17/01/11,8095,219029,266.475,296.4,0,0,102
30,17/01/11,8095,222087,173.85,192.375,1,0,214
31,17/01/11,8095,320485,205.9125,205.9125,0,0,28
32,17/01/11,8095,378934,205.9125,205.9125,0,0,7
33,17/01/11,8095,222765,248.6625,248.6625,0,0,48
34,17/01/11,8095,223245,200.925,200.925,0,0,78
35,17/01/11,8095,223153,190.2375,240.825,1,0,57
37,17/01/11,8095,245387,427.5,448.1625,1,1,50
38,17/01/11,8095,245338,429.6375,458.1375,1,0,62
39,17/01/11,8095,547934,177.4125,177.4125,0,0,22
42,17/01/11,8094,216418,87.6375,87.6375,0,1,109
43,17/01/11,8094,216419,88.35,88.35,0,1,133
44,17/01/11,8094,300021,85.5,85.5,0,0,11
45,17/01/11,8094,300291,128.25,180.975,0,0,9
47,17/01/11,8094,216425,127.5375,127.5375,0,0,19
48,17/01/11,8094,216233,123.975,123.975,0,0,33
49,17/01/11,8094,217390,139.65,164.5875,0,0,49
50,17/01/11,8094,217217,235.8375,235.8375,0,0,32
51,17/01/11,8094,217777,234.4125,234.4125,0,0,47
52,17/01/11,8094,219844,235.125,235.125,0,0,27
53,17/01/11,8094,219009,227.2875,227.2875,0,0,69
54,17/01/11,8094,219029,312.7875,312.7875,0,0,49
55,17/01/11,8094,222087,210.9,210.9,0,0,60
56,17/01/11,8094,320485,177.4125,177.4125,0,0,27
57,17/01/11,8094,378934,177.4125,177.4125,0,0,33
58,17/01/11,8094,222765,240.825,240.825,0,0,18
59,17/01/11,8094,223245,213.0375,213.0375,0,0,72
60,17/01/11,8094,223153,190.95,213.0375,1,0,81
61,17/01/11,8094,398721,426.7875,448.1625,1,0,11
62,17/01/11,8094,245387,426.7875,448.875,1,0,13
63,17/01/11,8094,245338,426.7875,448.1625,1,0,28
65,17/01/11,8094,547934,170.2875,170.2875,0,0,16
66,17/01/11,8094,679023,178.125,205.9125,0,0,10
67,17/01/11,8094,546789,178.125,200.2125,0,0,20
68,17/01/11,8063,216418,82.65,82.65,0,1,48
69,17/01/11,8063,216419,84.075,84.075,0,1,62
72,17/01/11,8063,216233,128.25,128.25,0,0,28
73,17/01/11,8063,217390,143.2125,166.725,0,0,23
74,17/01/11,8063,217217,231.5625,231.5625,0,0,6
75,17/01/11,8063,217777,232.9875,232.9875,0,0,14
77,17/01/11,8063,219009,227.2875,227.2875,0,0,81
78,17/01/11,8063,219029,295.6875,295.6875,0,0,22
79,17/01/11,8063,222087,216.6,216.6,0,0,45
80,17/01/11,8063,320485,177.4125,177.4125,0,0,9
81,17/01/11,8063,378934,177.4125,177.4125,0,0,11
83,17/01/11,8063,222765,205.2,205.2,0,0,30
84,17/01/11,8063,223245,205.9125,205.9125,0,0,54
85,17/01/11,8063,223153,190.2375,212.325,1,0,55
